timestamp,sign_name,event,status_text
2026-09-18T13:40:23,VMS D New Quay Road,UNRECOGNISED_FAULT_TEXT,"[('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged')]"
2026-09-18T13:40:23,VMS F West St/Hunger Hill,UNRECOGNISED_FAULT_TEXT,"[('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged')]"
2026-09-18T13:44:20,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-18T13:44:20,VMS F West St/Hunger Hill,OTHER_FAULTS_PRESENT,"(('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-19T05:24:58,VMS D New Quay Road,OTHER_FAULTS_CLEARED,
2026-09-19T05:24:58,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-19T05:34:59,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-19T05:34:59,VMS D New Quay Road,RESOLVED,
2026-09-19T16:35:24,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-19T16:35:24,VMS F West St/Hunger Hill,STARTED,Not Acknowledged
2026-09-19T16:45:25,VMS D New Quay Road,RESOLVED,
2026-09-19T16:45:40,VMS F West St/Hunger Hill,RESOLVED,
2026-09-19T22:36:08,VMS C West Street North,STARTED,Not Acknowledged
2026-09-19T22:36:08,VMS F West St/Hunger Hill,STARTED,Not Acknowledged
2026-09-19T22:46:24,VMS C West Street North,RESOLVED,
2026-09-19T22:46:24,VMS F West St/Hunger Hill,RESOLVED,
2026-09-20T07:36:45,VMS A Blandford Road,STARTED,Not Acknowledged
2026-09-20T07:36:45,VMS D New Quay Road,OTHER_FAULTS_CLEARED,
2026-09-20T07:36:45,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-20T07:46:45,VMS A Blandford Road,RESOLVED,
2026-09-20T07:46:46,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-20T07:46:46,VMS D New Quay Road,RESOLVED,
2026-09-20T23:47:26,VMS A Blandford Road,STARTED,Not Acknowledged
2026-09-20T23:47:26,VMS C West Street North,STARTED,Not Acknowledged
2026-09-20T23:57:27,VMS A Blandford Road,RESOLVED,
2026-09-20T23:57:27,VMS C West Street North,RESOLVED,
2026-09-22T04:38:38,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-22T04:38:38,VMS F West St/Hunger Hill,STARTED,Not Acknowledged
2026-09-22T04:48:38,VMS D New Quay Road,RESOLVED,
2026-09-22T04:48:38,VMS F West St/Hunger Hill,RESOLVED,
2026-09-22T06:38:43,VMS D New Quay Road,OTHER_FAULTS_CLEARED,
2026-09-22T06:48:43,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-22T07:58:45,VMS E Norton Way,STARTED,Not Acknowledged
2026-09-22T08:08:46,VMS E Norton Way,RESOLVED,
2026-09-22T08:28:47,VMS E Norton Way,STARTED,Not Acknowledged
2026-09-22T08:48:48,VMS E Norton Way,RESOLVED,
2026-09-22T09:28:49,VMS C West Street North,STARTED,Not Acknowledged
2026-09-22T09:38:50,VMS C West Street North,RESOLVED,
2026-09-22T14:09:00,VMS A Blandford Road,STARTED,Not Acknowledged
2026-09-22T14:09:00,VMS C West Street North,STARTED,Not Acknowledged
2026-09-22T14:09:00,VMS D New Quay Road,OTHER_FAULTS_CLEARED,
2026-09-22T14:09:00,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-22T14:09:01,VMS F West St/Hunger Hill,OTHER_FAULTS_CLEARED,
2026-09-22T14:09:01,VMS F West St/Hunger Hill,STARTED,Not Acknowledged
2026-09-22T14:19:01,VMS A Blandford Road,RESOLVED,
2026-09-22T14:19:02,VMS C West Street North,RESOLVED,
2026-09-22T14:19:02,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-22T14:19:02,VMS D New Quay Road,RESOLVED,
2026-09-22T14:19:17,VMS F West St/Hunger Hill,OTHER_FAULTS_PRESENT,"(('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-22T14:19:17,VMS F West St/Hunger Hill,RESOLVED,
2026-09-22T18:09:27,VMS A Blandford Road,STARTED,Not Acknowledged
2026-09-22T18:09:27,VMS C West Street North,STARTED,Not Acknowledged
2026-09-22T18:09:27,VMS D New Quay Road,OTHER_FAULTS_CLEARED,
2026-09-22T18:09:27,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-22T18:09:27,VMS F West St/Hunger Hill,OTHER_FAULTS_CLEARED,
2026-09-22T18:09:27,VMS F West St/Hunger Hill,STARTED,Not Acknowledged
2026-09-22T18:19:43,VMS A Blandford Road,RESOLVED,
2026-09-22T18:19:43,VMS C West Street North,RESOLVED,
2026-09-22T18:19:43,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-22T18:19:43,VMS D New Quay Road,RESOLVED,
2026-09-22T18:19:43,VMS F West St/Hunger Hill,OTHER_FAULTS_PRESENT,"(('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-22T18:19:43,VMS F West St/Hunger Hill,RESOLVED,
2026-09-22T19:09:45,VMS A Blandford Road,STARTED,Not Acknowledged
2026-09-22T19:09:45,VMS C West Street North,STARTED,Not Acknowledged
2026-09-22T19:09:45,VMS D New Quay Road,OTHER_FAULTS_CLEARED,
2026-09-22T19:09:45,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-22T19:09:45,VMS F West St/Hunger Hill,OTHER_FAULTS_CLEARED,
2026-09-22T19:09:45,VMS F West St/Hunger Hill,STARTED,Not Acknowledged
2026-09-22T19:19:46,VMS A Blandford Road,RESOLVED,
2026-09-22T19:19:46,VMS C West Street North,RESOLVED,
2026-09-22T19:19:46,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-22T19:19:46,VMS D New Quay Road,RESOLVED,
2026-09-22T19:19:46,VMS F West St/Hunger Hill,OTHER_FAULTS_PRESENT,"(('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-22T19:19:46,VMS F West St/Hunger Hill,RESOLVED,
2026-09-23T08:19:27,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
